split,mode,species,source_name,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_coding_mode,arithmetic_merge_size,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,emitted_arithmetic_symbol_count,core_model_theoretical_bits,tail_base_count,tail_side_info_bits,gpu_prefix_aggregate_seconds,cpu_small_alphabet_quantize_seconds,data_transfer_seconds,arithmetic_encode_seconds,compression_process_seconds,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
train,windows_nonoverlap,OrSa,OrSa,60000,60000,1.9252852864583334,1.9257333333333333,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.22674053400078265,0.0084850950006512,0.39792723699974886,0.6374098750011399,60000,15000,17639,16438,16512,0.9628666666666666,0.24071666666666666,0.8188105901695107
train,windows_nonoverlap,HoSa,HoSa,60000,60000,1.505014998372396,1.5057333333333334,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.22159711899985268,0.0027905970046049333,0.3632431980004185,0.4227229090047331,60000,15000,16995,16137,15716,0.7528666666666667,0.18821666666666667,0.6644895557516917
train,windows_nonoverlap,DaRe,DaRe,60000,60000,1.498865694173177,1.4994666666666667,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.23307288799878734,0.0029205740001998493,0.3814020440004242,0.44126791000053345,60000,15000,14457,15181,12852,0.7497333333333334,0.18743333333333334,0.7778930621844089
train,windows_nonoverlap,ScPo,ScPo,60000,60000,1.9479994384765624,1.9485333333333332,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.22316367499752232,0.002750756000750698,0.38096999999925174,0.44217610799933027,60000,15000,17448,16398,16336,0.9742666666666666,0.24356666666666665,0.8375745071068317
train,windows_nonoverlap,EsCo,EsCo,60000,60000,1.955672412109375,1.9562666666666666,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.22603285400236928,0.0027482560008138535,0.3863781199997902,0.44657029500194767,60000,15000,17715,16300,16612,0.9781333333333333,0.24453333333333332,0.8282246683601467
train,windows_nonoverlap,YeMi,YeMi,60000,60000,1.835939265950521,1.8365333333333334,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.22553640800015273,0.0028670920019067125,0.3815012850009225,0.44209009400219657,60000,15000,16842,15862,15828,0.9182666666666667,0.22956666666666667,0.8178363614772592
train,windows_nonoverlap,BuEb,BuEb,18561,18561,1.9644762187879872,1.9636873013307472,model_symbol,3,32768,127,0.01,0.003875732421875,6188,,,,0.0,0.06833640299919352,0.000904440999875078,0.11586442799944052,0.14618447099928744,18561,4641,5711,5122,5384,0.9818436506653736,0.2454609126663434,0.7977587112589739
train,windows_nonoverlap,AgPh,AgPh,43090,43089,1.9589761451905867,1.9594792174336837,model_symbol,3,32768,127,0.01,0.003875732421875,14364,,,,0.0,0.15742172400041454,0.0018774089985527098,0.26680859600037365,0.3259554369997204,43090,10773,12804,11827,12000,0.9797396087168418,0.2449292179159898,0.8242736644798501
train,windows_nonoverlap,GaGa,GaGa,60000,60000,1.9017623372395833,1.9022666666666668,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.2187590560024546,0.002740105998782383,0.37398755800040817,0.43334968599810963,60000,15000,17079,16298,15948,0.9511333333333334,0.23778333333333335,0.835353357924937
train,windows_nonoverlap,DrMe,DrMe,60000,60000,1.8975027506510416,1.8981333333333332,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.2203729650018431,0.0026674099990486866,0.37611804500011203,0.4357023959992148,60000,15000,17111,16264,15740,0.9490666666666666,0.23726666666666665,0.831979428437847
