split,mode,species,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
train,train_windows_nonoverlap,OrSa,100000,100000,1.92042,2.0732,100000,25000,28961,27292,27296,1.0366,0.25915,0.8948240737543594
train,train_windows_nonoverlap,HoSa,100000,100000,1.49361,1.67008,100000,25000,27817,26629,25732,0.83504,0.20876,0.7504763274256749
train,train_windows_nonoverlap,DaRe,100000,100000,1.88222,2.03736,100000,25000,25261,25757,22812,1.01868,0.25467,1.0081548632279007
train,train_windows_nonoverlap,ScPo,100000,100000,1.94536,2.09704,100000,25000,28686,27211,27084,1.04852,0.26213,0.9137906992958238
train,train_windows_nonoverlap,EsCo,100000,100000,1.96582,2.11736,100000,25000,28942,27112,27332,1.05868,0.26467,0.9144841406951835
train,train_windows_nonoverlap,YeMi,66320,66320,1.8314837153196621,1.9940892641737034,66320,16580,18567,17526,17460,0.9970446320868517,0.24926115802171292,0.8903430818118167
train,train_windows_nonoverlap,BuEb,17046,17046,1.9554147600610114,2.1077085533262934,17046,4262,5260,4717,4976,1.0538542766631467,0.26346356916578667,0.8538022813688213
train,train_windows_nonoverlap,AgPh,39573,39573,1.9600232481742603,2.1119450130139237,39573,9894,11794,10857,11048,1.0559725065069618,0.26399312662674046,0.8857893844327624
train,train_windows_nonoverlap,GaGa,100000,100000,1.87834,2.03976,100000,25000,28307,27125,26668,1.01988,0.25497,0.9007312678842689
train,train_windows_nonoverlap,DrMe,100000,100000,1.8434,2.00032,100000,25000,28156,26962,25948,1.00016,0.25004,0.8880522801534309
train,train_windows_nonoverlap,EnIn,100000,100000,1.9113,2.0688,100000,25000,28368,26926,26764,1.0344,0.2586,0.9115905245346869
train,train_windows_nonoverlap,PlFa,100000,100000,1.81126,1.97416,100000,25000,27096,26409,25232,0.98708,0.24677,0.9107248302332448
train,train_windows_nonoverlap,HePy,100000,100000,1.9148,2.07072,100000,25000,28131,26820,26420,1.03536,0.25884,0.9201237069425189
train,train_windows_nonoverlap,AeCa,100000,100000,1.9674,2.1172,100000,25000,29143,27237,27564,1.0586,0.26465,0.9081082935867961
train,train_windows_nonoverlap,HaHi,100000,100000,1.86664,2.02736,100000,25000,28154,26428,26448,1.01368,0.25342,0.9001207643674078
train,train_windows_nonoverlap,AnCa,100000,100000,1.89694,2.05536,100000,25000,28582,26994,26824,1.02768,0.25692,0.8988874116576867
train,train_windows_nonoverlap,WaMe,100000,100000,1.96076,2.11136,100000,25000,29047,27262,27328,1.05568,0.26392,0.9085964127104348
val,train_windows_nonoverlap,OrSa,100000,100000,1.90852,2.0628,100000,25000,28646,27242,26560,1.0314,0.25785,0.9001256719960902
val,train_windows_nonoverlap,HoSa,100000,100000,1.55098,1.72648,100000,25000,28142,26738,26152,0.86324,0.21581,0.7668609196219174
val,train_windows_nonoverlap,DaRe,100000,100000,1.79442,1.95376,100000,25000,27298,26167,25180,0.97688,0.24422,0.8946442962854422
val,train_windows_nonoverlap,ScPo,100000,100000,1.95954,2.11144,100000,25000,29228,27334,27616,1.05572,0.26393,0.9030039687970439
val,train_windows_nonoverlap,EsCo,100000,100000,1.96982,2.12024,100000,25000,29027,27197,27448,1.06012,0.26503,0.9130464739725084
val,train_windows_nonoverlap,YeMi,3684,3684,1.8683496199782845,2.030401737242128,3684,921,1161,1064,1216,1.015200868621064,0.253800217155266,0.8053402239448751
val,train_windows_nonoverlap,BuEb,947,947,1.989440337909187,2.12882787750792,947,237,352,322,436,1.06441393875396,0.26610348468849,0.7159090909090909
val,train_windows_nonoverlap,AgPh,2198,2198,1.9636032757051864,2.1146496815286624,2198,550,733,672,812,1.0573248407643312,0.2643312101910828,0.7926330150068213
val,train_windows_nonoverlap,GaGa,100000,100000,1.84724,2.01344,100000,25000,27989,26680,26360,1.00672,0.25168,0.89921040408732
val,train_windows_nonoverlap,DrMe,100000,100000,1.9102,2.06376,100000,25000,28925,27193,27156,1.03188,0.25797,0.8918582541054452
val,train_windows_nonoverlap,EnIn,100000,100000,1.94508,2.09968,100000,25000,28906,27258,27344,1.04984,0.26246,0.9079775825088217
val,train_windows_nonoverlap,PlFa,100000,100000,1.83708,1.99976,100000,25000,27676,26456,26052,0.99988,0.24997,0.9032013296719179
val,train_windows_nonoverlap,HePy,83391,83391,1.9220239594200812,2.0784017459917736,83391,20848,23585,22287,22204,1.0392008729958868,0.2598002182489717,0.9185923256306975
val,train_windows_nonoverlap,AeCa,79552,79552,1.8976769911504425,2.051689460981496,79552,19888,22659,21204,21200,1.025844730490748,0.256461182622687,0.9003927799108522
val,train_windows_nonoverlap,HaHi,100000,100000,1.92794,2.0832,100000,25000,28863,26883,27128,1.0416,0.2604,0.9021931192183764
val,train_windows_nonoverlap,AnCa,100000,100000,1.87368,2.03496,100000,25000,28374,26949,26460,1.01748,0.25437,0.8964897441319518
val,train_windows_nonoverlap,WaMe,100000,100000,1.96736,2.1168,100000,25000,29181,27284,27592,1.0584,0.2646,0.9067543949830369
test,train_windows_nonoverlap,OrSa,100000,100000,1.88664,2.04224,100000,25000,28535,27109,26012,1.02112,0.25528,0.89462064131768
test,train_windows_nonoverlap,HoSa,100000,100000,1.65096,1.82208,100000,25000,28313,26779,26452,0.91104,0.22776,0.8044361247483488
test,train_windows_nonoverlap,DaRe,100000,100000,1.78882,1.9468,100000,25000,27051,25802,24808,0.9734,0.24335,0.8995970574100772
test,train_windows_nonoverlap,ScPo,100000,100000,1.9589,2.11104,100000,25000,29191,27347,27640,1.05552,0.26388,0.903977253262992
test,train_windows_nonoverlap,EsCo,100000,100000,1.9696,2.12032,100000,25000,29030,27241,27476,1.06016,0.26504,0.9129865656217706
test,train_windows_nonoverlap,YeMi,3685,3685,1.8092265943012211,1.9668928086838535,3685,922,1102,1036,1152,0.9834464043419268,0.2458616010854817,0.822141560798548
test,train_windows_nonoverlap,BuEb,947,947,1.9408658922914466,2.0865892291446673,947,237,344,317,432,1.0432946145723336,0.2608236536430834,0.7180232558139535
test,train_windows_nonoverlap,AgPh,2199,2199,1.9645293315143246,2.11368804001819,2199,550,738,675,820,1.056844020009095,0.26421100500227374,0.7872628726287263
test,train_windows_nonoverlap,GaGa,100000,100000,1.8889,2.05088,100000,25000,28654,26977,26932,1.02544,0.25636,0.8946743910099811
test,train_windows_nonoverlap,DrMe,100000,100000,1.94518,2.09568,100000,25000,28496,27297,26756,1.04784,0.26196,0.9192869174620999
test,train_windows_nonoverlap,EnIn,100000,100000,1.91688,2.07376,100000,25000,28549,27024,26992,1.03688,0.25922,0.9079827664716803
